curriculum_system,curriculum_status,key_stage,level,module,strand_zh,strand_en,unit_code,unit_order,unit_name_zh,unit_name_en,curriculum_tier,grade_assignment_policy,source_doc_ids,implementation_note
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS23,23,四邊形,Quadrilaterals,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS24,24,三角形的心,Centres of triangles,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS25,25,畢氏定理,Pythagoras' theorem,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS26,26,直角坐標系,Rectangular coordinate system,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS27,27,三角學,Trigonometry,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數據處理,Data Handling,JS28,28,數據的組織,Organisation of data,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數據處理,Data Handling,JS29,29,數據的表達,Presentation of data,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數據處理,Data Handling,JS30,30,集中趨勢的度量,Measures of central tendency,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數據處理,Data Handling,JS31,31,概率,Probability,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,進階學習單位,Further Learning Unit,JS32,32,探索與研究,Inquiry and investigation,further_learning,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP01,1,一元二次方程,Quadratic equations in one unknown,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP02,2,函數及其圖像,Functions and graphs,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP03,3,指數函數與對數函數,Exponential and logarithmic functions,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP04,4,續多項式,More about polynomials,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP05,5,續方程,More about equations,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP06,6,變分,Variations,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP07,7,等差數列與等比數列及其求和法,Arithmetic and geometric sequences and their summations,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP08,8,不等式與線性規畫,Inequalities and linear programming,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數與代數,Number and Algebra,CP09,9,續函數圖像,More about graphs of functions,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,度量、圖形與空間,"Measures, Shape and Space",CP10,10,直線方程,Equations of straight lines,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,度量、圖形與空間,"Measures, Shape and Space",CP11,11,圓的基本性質,Basic properties of circles,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,度量、圖形與空間,"Measures, Shape and Space",CP12,12,軌跡,Loci,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,度量、圖形與空間,"Measures, Shape and Space",CP13,13,圓方程,Equations of circles,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,度量、圖形與空間,"Measures, Shape and Space",CP14,14,續三角學,More about trigonometry,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數據處理,Data Handling,CP15,15,排列與組合,Permutations and combinations,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數據處理,Data Handling,CP16,16,續概率,More about probability,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數據處理,Data Handling,CP17,17,離差的度量,Measures of dispersion,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,數據處理,Data Handling,CP18,18,統計的應用及誤用,Uses and abuses of statistics,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,進階學習單位,Further Learning Unit,CP19,19,進階應用,Further applications,further_learning,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,Compulsory Part,進階學習單位,Further Learning Unit,CP20,20,探索與研究,Inquiry and investigation,further_learning,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-CP-2021-ZH;EDB-SS-CP-2021-EN,修訂必修課程自 2023/24 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,基礎知識,Foundation Knowledge,M1-01,1,二項展式,Binomial expansion,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,基礎知識,Foundation Knowledge,M1-02,2,指數函數和對數函數,Exponential and logarithmic functions,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,微積分,Calculus,M1-03,3,函數的導數,Derivative of a function,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,微積分,Calculus,M1-04,4,函數的求導法,Differentiation of a function,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,微積分,Calculus,M1-05,5,二階導數,Second derivative,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,微積分,Calculus,M1-06,6,求導法的應用,Applications of differentiation,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,微積分,Calculus,M1-07,7,不定積分法及其應用,Indefinite integration and its applications,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,微積分,Calculus,M1-08,8,定積分法及其應用,Definite integration and its applications,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,微積分,Calculus,M1-09,9,運用梯形法則計算定積分的近似值,Approximation of definite integrals using the trapezoidal rule,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-10,10,條件概率和貝葉斯定理,Conditional probability and Bayes' theorem,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-11,11,離散隨機變量,Discrete random variables,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-12,12,概率分佈、期望值和方差,"Probability distribution, expectation and variance",core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-13,13,二項分佈,The binomial distribution,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-14,14,泊松分佈,The Poisson distribution,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-15,15,二項分佈和泊松分佈的應用,Applications of the binomial and the Poisson distributions,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-16,16,正態分佈的基本定義及其性質,Basic definition and properties of normal distribution,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-17,17,正態變量的標準化及標準正態分佈表的運用,Standardisation of a normal variable and use of the standard normal table,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-18,18,正態分佈的應用,Applications of the normal distribution,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-19,19,抽樣分佈和點估計,Sampling distribution and point estimates,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,統計,Statistics,M1-20,20,總體平均值的置信區間,Confidence interval for a population mean,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M1 Calculus and Statistics,進階學習單位,Further Learning Unit,M1-21,21,探索與研究,Inquiry and investigation,further_learning,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M1-2018-ZH;EDB-SS-M1-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,基礎知識,Foundation Knowledge,M2-01,1,奇函數和偶函數,Odd and even functions,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,基礎知識,Foundation Knowledge,M2-02,2,數學歸納法,Mathematical induction,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,基礎知識,Foundation Knowledge,M2-03,3,二項式定理,The binomial theorem,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,基礎知識,Foundation Knowledge,M2-04,4,續三角函數,More about trigonometric functions,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,基礎知識,Foundation Knowledge,M2-05,5,e 的簡介,Introduction to e,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,微積分,Calculus,M2-06,6,極限,Limits,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,微積分,Calculus,M2-07,7,求導法,Differentiation,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,微積分,Calculus,M2-08,8,求導法的應用,Applications of differentiation,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,微積分,Calculus,M2-09,9,不定積分法及其應用,Indefinite integration and its applications,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,微積分,Calculus,M2-10,10,定積分法,Definite integration,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,微積分,Calculus,M2-11,11,定積分法的應用,Applications of definite integration,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,代數,Algebra,M2-12,12,行列式,Determinants,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,代數,Algebra,M2-13,13,矩陣,Matrices,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,代數,Algebra,M2-14,14,線性方程組,Systems of linear equations,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,代數,Algebra,M2-15,15,向量的簡介,Introduction to vectors,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,代數,Algebra,M2-16,16,純量積與向量積,Scalar product and vector product,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,代數,Algebra,M2-17,17,向量的應用,Applications of vectors,core,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
Hong Kong Mathematics Curriculum,current,KS4,S4-S6,M2 Algebra and Calculus,進階學習單位,Further Learning Unit,M2-18,18,探索與研究,Inquiry and investigation,further_learning,key-stage-only; school-based sequencing,EDB-SSMC-2017-ZH;EDB-SSMC-2017-EN;EDB-SS-M2-2018-ZH;EDB-SS-M2-2018-EN,修訂延伸部分自 2019/20 學年中四起逐年推行。
